"Date","Link","Tweet","Comment"
"2017-02-16 06:34 AM","https://twitter.com/realdonaldtrump/status/832191485701451777","Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!",""
"2017-02-23 05:53 PM","https://twitter.com/realdonaldtrump/status/834899071982841856","'S&P 500 Edges Higher After Trump Renews Jobs Pledge' https://t.co/WtrRJVFmvU",""
"2017-02-25 08:27 AM","https://twitter.com/realdonaldtrump/status/835481237879926784","Great optimism for future of U.S. business, AND JOBS, with the DOW having an 11th straight record close. Big tax & regulation cuts coming!",""
"2017-03-02 06:00 AM","https://twitter.com/realdonaldtrump/status/837256338203881472","Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!",""
"2017-03-14 11:00 AM","https://twitter.com/realdonaldtrump/status/841665325682827265","JOBS, JOBS, JOBS! https://t.co/wAkQMKdPXA","Four Fox Business graphics, including ""U. S. MARKETS FROM ELECTION DAY"""
"2017-04-01 06:21 PM","https://twitter.com/realdonaldtrump/status/848299191646515202","Thank you @JCLayfield -- will get even better as my Administration continues to put #AmericaFirst🇺🇸 https://t.co/AQQzmt10x7","video clip of Fox News: ""CONSUMER CONFIDENCE AT 16-YR HIGH AS DOW SEES LONGEST QUARTERLY WINNING STREAK IN 10 YRS"""
"2017-06-02 06:08 AM","https://twitter.com/realdonaldtrump/status/870582867084050432","RT @foxandfriends: Wall Street hits record highs after Trump pulls out of Climate pact https://t.co/PDmwj13Lus",""
"2017-06-02 06:40 AM","https://twitter.com/realdonaldtrump/status/870590911222349824","RT @EricTrump: #MakeAmericaGreatAgain!!! 🇺🇸🇺🇸 https://t.co/MStWl628xe","video clip of Reuters Business: ""Dow, S&P 500 and Nasdaq set record closing highs"""
"2017-06-11 08:22 AM","https://twitter.com/realdonaldtrump/status/873878061778907137","The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling & energy sector...",""
"2017-07-02 07:55 PM","https://twitter.com/realdonaldtrump/status/881662619282702338","Stock Market at all time high, unemployment at lowest level in years (wages will start going up) and our base has never been stronger!",""
"2017-07-03 05:10 PM","https://twitter.com/realdonaldtrump/status/881983493533822976","Dow hit a new intraday all-time high! I wonder whether or not the Fake News Media will so report?",""
"2017-07-03 09:33 PM","https://twitter.com/realdonaldtrump/status/882049782541414400","RT @JacobAWohl: @realDonaldTrump When Obama was President, the #MSM LOVED talking about stock market rallies! Now they barely mention new a…","Retweet of account now suspended"
"2017-07-12 07:06 PM","https://twitter.com/realdonaldtrump/status/885274148012011520","Stock market hits another high with spirit and enthusiasm so positive. Jobs outlook looking very good! #MAGA🇺🇸 https://t.co/Vwxsb2vWGe",""
"2017-07-15 12:21 PM","https://twitter.com/realdonaldtrump/status/886259363412926464","Stock Market at new all-time high! Working on new trade deals that will be great for U.S. and its workers!",""
"2017-07-15 12:30 PM","https://twitter.com/realdonaldtrump/status/886261674029854721","Stock Market hit another all-time high yesterday - despite the Russian hoax story! Also, jobs numbers are starting to look very good!",""
"2017-07-15 04:29 PM","https://twitter.com/realdonaldtrump/status/886321948275429381","Just got to the #USWomensOpen in Bedminster, New Jersey. People are really happy with record high stock market - up over 17% since election!",""
"2017-07-18 09:03 PM","https://twitter.com/realdonaldtrump/status/887478019346051075","RT @FoxNews: U.S. Markets since election. https://t.co/rlWSt30GUd",""
"2017-07-23 08:23 PM","https://twitter.com/realdonaldtrump/status/889279880336166914","Thank you to @LOUDOBBS for giving the first six months of the Trump Administration an A+. S.C.,reg cutting,Stock M, jobs,border etc. = TRUE!",""
"2017-07-29 01:04 PM","https://twitter.com/realdonaldtrump/status/891343645529567232","U.S. Stock Market up almost 20% since Election!",""
"2017-07-31 08:28 AM","https://twitter.com/realdonaldtrump/status/891998881009061888","Highest Stock Market EVER, best economic numbers in years, unemployment lowest in 17 years, wages raising, border secure, S.C.: No WH chaos!",""
"2017-08-01 08:49 AM","https://twitter.com/realdonaldtrump/status/892366646542782464","Stock Market could hit all-time high (again) 22,000 today. Was 18,000 only 6 months ago on Election Day. Mainstream media seldom mentions!",""
"2017-08-03 08:08 AM","https://twitter.com/realdonaldtrump/status/893081237082001409","Business is looking better than ever with business enthusiasm at record levels. Stock Market at an all-time high. That doesn't just happen!",""
"2017-08-06 09:15 AM","https://twitter.com/realdonaldtrump/status/894185208924262401","MAKE AMERICA GREAT AGAIN! https://t.co/g4ELhh9joH","Four Fox Business graphics, including ""DOW HITS ALL-TIME HIGH"""
"2017-08-07 07:04 AM","https://twitter.com/realdonaldtrump/status/894514535062790144","...and West Virginia. The fact is the Fake News Russian collusion story, record Stock Market, border security, military strength, jobs.....",""
"2017-08-16 01:50 PM","https://twitter.com/realdonaldtrump/status/897878175308546048","RT @JacobAWohl: @realDonaldTrump President Trump alone has succeeded in bringing the Stock Market, Small Business Index and Consumer Comfor…","Retweet of account now suspended"
"2017-09-01 07:47 PM","https://twitter.com/realdonaldtrump/status/903766326631698432","Stock Market up 5 months in a row!",""
"2017-09-16 06:40 PM","https://twitter.com/realdonaldtrump/status/909185223887347712","A great deal of good things happening for our country. Jobs and Stock Market at all time highs, and I believe will be getting even better!",""
"2017-09-29 09:39 AM","https://twitter.com/realdonaldtrump/status/913760243770896389","RECORD HIGH FOR S & P 500!",""
"2017-09-29 09:32 PM","https://twitter.com/realdonaldtrump/status/913939669800202240","RT @Scavino45: Under POTUS' @realDonaldTrump 
☑️S&P 500 38th📈Record High 
☑️NASDAQ 44th📈Record High
☑️#MakeAmericaGreatAgain🇺🇸 https://t.co…",""
"2017-10-05 07:09 AM","https://twitter.com/realdonaldtrump/status/915896809536589824","Stock Market hits an ALL-TIME high! Unemployment lowest in 16 years! Business and manufacturing enthusiasm at highest level in decades!",""
"2017-10-05 10:16 PM","https://twitter.com/realdonaldtrump/status/916124989736308736","RT @FoxBusiness: #StockAlert: U.S. markets since the election https://t.co/1kwamJuizO","Fox Business graphic ""MARKETS SINCE THE ELECTION"""
"2017-10-09 10:31 PM","https://twitter.com/realdonaldtrump/status/917578384800124929","RT @IvankaTrump: .@realDonaldTrump stock market rally is close to becoming the greatest in 85 years https://t.co/5WlZa82Mij",""
"2017-10-11 06:21 AM","https://twitter.com/realdonaldtrump/status/918058910673760258","Stock Market has increased by 5.2 Trillion dollars since the election on November 8th, a 25% increase. Lowest unemployment in 16 years and..",""
"2017-10-11 06:31 AM","https://twitter.com/realdonaldtrump/status/918061437750267904","It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts",""
"2017-10-16 08:54 AM","https://twitter.com/realdonaldtrump/status/919909494200528897","Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low & companies are coming back to U.S.",""
"2017-10-16 08:57 AM","https://twitter.com/realdonaldtrump/status/919910256624447493","The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.",""
"2017-10-17 07:05 AM","https://twitter.com/realdonaldtrump/status/920244350268903424","RT @Scavino45: U.S. MARKETS FROM ELECTION DAY {Since 11/8/2016} 📈 https://t.co/HtjHrznQKJ","video clip of Fox Business: ""DOW CLOSES AT RECORD HIGH"""
"2017-10-17 12:16 PM","https://twitter.com/realdonaldtrump/status/920322631412473856","""Dow Passes 23,000 for the First Time, Fueled by Strong Earnings""
#Dow23K📈https://t.co/wnkrddYlb9 https://t.co/wlP0NCNcou",""
"2017-10-17 07:06 PM","https://twitter.com/realdonaldtrump/status/920425695507042305","WOW! https://t.co/eKfRktNVuy","includes an animation titled “DOW PASSES 23,000 FOR THE FIRST TIME”"
"2017-10-18 06:49 PM","https://twitter.com/realdonaldtrump/status/920783976784171008","""20,000📈21,000📈22,000📈 23,000📈this year...FOUR one thousand milestones this year..."" 
#Dow23K #MAGA https://t.co/GQ5f2eVvEI","video clip of Fox Business: ""DOW CLOSES ABOVE 23,000 54 DAYS SINCE DOW CLOSED ABOVE 22,000"""
"2017-10-21 09:14 AM","https://twitter.com/realdonaldtrump/status/921726400922619904","Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!",""
"2017-10-21 08:09 PM","https://twitter.com/realdonaldtrump/status/921891186352287744","...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!",""
"2017-10-24 10:35 AM","https://twitter.com/realdonaldtrump/status/922833943749103621","Stock Market just hit another record high! Jobs looking very good.",""
"2017-10-25 11:40 AM","https://twitter.com/realdonaldtrump/status/923212567232774145","MAKE AMERICA GREAT AGAIN! https://t.co/CbEwJSQ1A3","video clip of Fox News: ""STOCK MARKET SURGE"""
"2017-11-04 08:35 AM","https://twitter.com/realdonaldtrump/status/926789876556500992","Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Market ever, up $5.4 trill",""
"2017-11-07 05:37 AM","https://twitter.com/realdonaldtrump/status/927847349648609280","Stock market hit yet another all-time record high yesterday. There is great confidence in the moves that my Administration....",""
"2017-11-17 05:29 AM","https://twitter.com/realdonaldtrump/status/931469365538672640","Great numbers on Stocks and the Economy. If we get Tax Cuts and Reform, we'll really see some great results!",""
"2017-11-22 06:51 AM","https://twitter.com/realdonaldtrump/status/933301876975718401","Will be having meetings and working the phones from the Winter White House in Florida (Mar-a-Lago). Stock Market hit new Record High yesterday - $5.5 trillion gain since E. Many companies coming back to the U.S. Military building up and getting very strong.",""
"2017-11-23 06:28 AM","https://twitter.com/realdonaldtrump/status/933658521828315136","HAPPY THANKSGIVING, your Country is starting to do really well. Jobs coming back, highest Stock Market EVER, Military getting really strong, we will build the WALL, V.A. taking care of our Vets, great Supreme Court Justice, RECORD CUT IN REGS, lowest unemployment in 17 years....!",""
"2017-11-27 09:48 PM","https://twitter.com/realdonaldtrump/status/935339687006429185","New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us the much needed Tax Cuts to keep it all going! Democrats want big Tax Increases.",""
"2017-11-28 05:30 PM","https://twitter.com/realdonaldtrump/status/935636972252618753","Dow, S&P 500 and Nasdaq all finished the day at new RECORD HIGHS! https://t.co/wJyB9d00hh",""
"2017-11-29 06:28 AM","https://twitter.com/realdonaldtrump/status/935832847654576128","RT @EricTrump: #MakeAmericaGreatAgain https://t.co/Q7AiR0buM2","video clip of Fox Business: ""DOW CLOSES AT RECORD HIGH"""
"2017-11-29 07:03 AM","https://twitter.com/realdonaldtrump/status/935841679977910272","Looks like another great day for the Stock Market. Consumer Confidence is at Record High. I guess somebody likes me (my policies)!",""
"2017-11-29 09:49 AM","https://twitter.com/realdonaldtrump/status/935883355547160577","Economy growing! Excluding hurricane effects, CEA estimates that real GDP growth would have been 3.9% in Q3.

Stock market at a new high, unemployment at a low. We are winning and TAX CUTS will shift our economy into high gear! https://t.co/HrKIF72VqE",""
"2017-11-30 08:05 AM","https://twitter.com/realdonaldtrump/status/936219599422574592","Stock Market hits new Record High. Confidence and enthusiasm abound. More great numbers coming out!",""
"2017-11-30 10:46 AM","https://twitter.com/realdonaldtrump/status/936260193536573440","The Dow just broke 24,000 for the first time (another all-time Record). If the Dems had won the Presidential Election, the Market would be down 50% from these levels and Consumer Confidence, which is also at an all-time high, would be “low and glum!”",""
"2017-11-30 04:50 PM","https://twitter.com/realdonaldtrump/status/936351772603568130","Our FIFTH 1K milestone of 2017!
#DOW24K #MAGA https://t.co/NoVt1uFp0y",""
"2017-12-03 08:15 AM","https://twitter.com/realdonaldtrump/status/937309279257792512","People who lost money when the Stock Market went down 350 points based on the False and Dishonest reporting of Brian Ross of @ABC News (he has been suspended), should consider hiring a lawyer and suing ABC for the damages this bad reporting has caused - many millions of dollars!",""
"2017-12-04 07:00 AM","https://twitter.com/realdonaldtrump/status/937652739001212928","Putting Pelosi/Schumer Liberal Puppet Jones into office in Alabama would hurt our great Republican Agenda of low on taxes, tough on crime, strong on military and borders...& so much more. Look at your 401-k’s since Election. Highest Stock Market EVER! Jobs are roaring back!",""
"2017-12-04 07:03 AM","https://twitter.com/realdonaldtrump/status/937653535486959616","With the great vote on Cutting Taxes, this could be a big day for the Stock Market - and YOU!",""
"2017-12-10 08:30 AM","https://twitter.com/realdonaldtrump/status/939849867438034944","Things are going really well for our economy, a subject the Fake News spends as little time as possible discussing! Stock Market hit another RECORD HIGH, unemployment is now at a 17 year low and companies are coming back into the USA. Really good news, and much more to come!",""
"2017-12-12 09:23 AM","https://twitter.com/realdonaldtrump/status/940588025964265472","Consumer Confidence is at an All-Time High, along with a Record High Stock Market. Unemployment is at a 17 year low. MAKE AMERICA GREAT AGAIN! Working to pass MASSIVE TAX CUTS (looking good).",""
"2017-12-14 07:59 AM","https://twitter.com/realdonaldtrump/status/941291666564141057","Republican Tax Cuts are looking very good. All are working hard. In the meantime, the Stock Market hit another record high!",""
"2017-12-15 07:00 PM","https://twitter.com/realdonaldtrump/status/941820213518938112","DOW, S&P 500 and NASDAQ close at record highs! #MAGA https://t.co/hvqwnqSGuG",""
"2017-12-18 05:25 PM","https://twitter.com/realdonaldtrump/status/942883507868782592","70 Record Closes for the Dow so far this year! We have NEVER had 70 Dow Records in a one year period. Wow!",""
"2017-12-19 06:04 AM","https://twitter.com/realdonaldtrump/status/943074475209355264","DOW RISES 5000 POINTS ON THE YEAR FOR THE FIRST TIME EVER - MAKE AMERICA GREAT AGAIN!",""
"2017-12-19 06:23 AM","https://twitter.com/realdonaldtrump/status/943079382163353600","Stocks and the economy have a long way to go after the Tax Cut Bill is totally understood and appreciated in scope and size. Immediate expensing will have a big impact. Biggest Tax Cuts and Reform EVER passed. Enjoy, and create many beautiful JOBS!",""
"2017-12-22 10:04 AM","https://twitter.com/realdonaldtrump/status/944222157218942978","With all my Administration has done on Legislative Approvals (broke Harry Truman’s Record), Regulation Cutting, Judicial Appointments, Building Military, VA, TAX CUTS & REFORM, Record Economy/Stock Market and so much more, I am sure great credit will be given by mainstream news?",""
"2017-12-23 05:44 PM","https://twitter.com/realdonaldtrump/status/944700332881440769","The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished by the Trump Administration, perhaps more than any other President in first year. Sadly, will never be reported correctly by the Fake News Media!",""
"2017-12-26 05:17 PM","https://twitter.com/realdonaldtrump/status/945780569388015616","All signs are that business is looking really good for next year, only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!",""
"2017-12-30 11:46 PM","https://twitter.com/realdonaldtrump/status/947328044821336070","“Trump Rally: Stocks put 2017 in the record books” https://t.co/0foQGaFjMh",""
"2018-01-03 09:11 PM","https://twitter.com/realdonaldtrump/status/948738634722742273","Stock Market had another good day but, now that the Tax Cut Bill has passed, we have tremendous upward potential. Dow just short of 25,000, a number that few thought would be possible this soon into my administration. Also, unemployment went down to 4.1%. Only getting better!",""
"2018-01-04 10:48 AM","https://twitter.com/realdonaldtrump/status/948944124132167680","Dow just crashes through 25,000. Congrats! Big cuts in unnecessary regulations continuing.",""
"2018-01-04 07:11 PM","https://twitter.com/realdonaldtrump/status/949070800417640454","MAKING AMERICA GREAT AGAIN! https://t.co/iONbr1DkVk","Image: ""DOW MILESTONES"""
"2018-01-04 11:04 PM","https://twitter.com/realdonaldtrump/status/949129410208202757","The Fake News Media barely mentions the fact that the Stock Market just hit another New Record and that business in the U.S. is booming...but the people know! Can you imagine if “O” was president and had these numbers - would be biggest story on earth! Dow now over 25,000.",""
"2018-01-05 06:35 AM","https://twitter.com/realdonaldtrump/status/949242950659313669","Dow goes from 18,589 on November 9, 2016, to 25,075 today, for a new all-time Record. Jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history. This is all about the Make America Great Again agenda! Jobs, Jobs, Jobs. Six trillion dollars in value created!",""
"2018-01-06 06:57 AM","https://twitter.com/realdonaldtrump/status/949610896241946626","Brian Ross, the reporter who made a fraudulent live newscast about me that drove the Stock Market down 350 points (billions of dollars), was suspended for a month but is now back at ABC NEWS in a lower capacity. He is no longer allowed to report on Trump. Should have been fired!",""
"2018-01-07 03:42 PM","https://twitter.com/realdonaldtrump/status/950105312782114817","The Stock Market has been creating tremendous benefits for our country in the form of not only Record Setting Stock Prices, but present and future Jobs, Jobs, Jobs. Seven TRILLION dollars of value created since our big election win!",""
"2018-01-13 08:13 AM","https://twitter.com/realdonaldtrump/status/952166643202916352","Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA, from Mexico and many others will follow. Tax cut money to employees is pouring into our economy with many more companies announcing. American business is hot again!",""
"2018-01-13 10:42 PM","https://twitter.com/realdonaldtrump/status/952385311669178368","RT @LouDobbs: The stock market has gained an incredible 7.8 Trillion dollars in market value since @POTUS was elected! Looks like 4% econom…",""
"2018-01-14 08:50 AM","https://twitter.com/realdonaldtrump/status/952538350333939713","“President Trump is not getting the credit he deserves for the economy. Tax Cut bonuses to more than 2,000,000 workers. Most explosive Stock Market rally that we’ve seen in modern times. 18,000 to 26,000 from Election, and grounded in profitability and growth. All Trump, not 0...",""
"2018-01-15 07:48 PM","https://twitter.com/realdonaldtrump/status/953066286434652165","RT @EricTrump: #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t.co/b81NtQGhHa","Image: ""The value of all stocks has gone up $7,800,000,000,000 from the election to now"""
"2018-01-20 05:31 PM","https://twitter.com/realdonaldtrump/status/954843844402647040","Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military, Crime, Borders, & ISIS, Judicial Strength & Numbers, Lowest Unemployment for Women & ALL, Massive Tax Cuts, end of Individual Mandate - and so much more. Big 2018!",""
"2018-02-07 09:59 AM","https://twitter.com/realdonaldtrump/status/961253168968622086","In the “old days,” when good news was reported, the Stock Market would go up. Today, when good news is reported, the Stock Market goes down. Big mistake, and we have so much good (great) news about the economy!",""
"2018-03-26 04:29 PM","https://twitter.com/realdonaldtrump/status/978368319542702080","Great news! #MAGA https://t.co/mRQGRJkozC","Retweet of CNBC Now: ""BREAKING: Dow posts third best one-day point gain ever https://cnb.cx/2G6ga8Y"""
"2018-06-05 06:51 AM","https://twitter.com/realdonaldtrump/status/1003952348962619392","The U.S. has an increased economic value of more than 7 Trillion Dollars since the Election. May be the best economy in the history of our country. Record Jobs numbers. Nice!",""
"2018-06-11 05:52 PM","https://twitter.com/realdonaldtrump/status/1006293144911085568","Stock Market up almost 40% since the Election, with 7 Trillion Dollars of U.S. value built throughout the economy. Lowest unemployment rate in many decades, with Black & Hispanic unemployment lowest in History, and Female unemployment lowest in 21 years. Highest confidence ever!",""
"2018-07-14 05:46 AM","https://twitter.com/realdonaldtrump/status/1018069319702458368","The Stock Market hit 25,000 yesterday. Jobs are at an all time record - and that is before we fix some of the worst trade deals and conditions ever seen by any government. It is all happening!",""
"2018-08-17 10:10 AM","https://twitter.com/realdonaldtrump/status/1030456820417081344","Wow! Big pushback on Governor Andrew Cuomo of New York for his really dumb statement about America’s lack of greatness. I have already MADE America Great Again, just look at the markets, jobs, military- setting records, and we will do even better. Andrew “choked” badly, mistake!",""
"2018-08-22 04:07 PM","https://twitter.com/realdonaldtrump/status/1032358618576900096","Longest bull run in the history of the stock market, congratulations America!",""
